REG_OCC_CODE_PREFIX,UNION_OCC_CODE
11,3
13,4
15,6
17,7
19,8
21,9
23,10
25,11
27,12
29,13
31,15
33,16
35,17
37,18
39,19
41,21
43,22
45,24
47,25
49,26
51,28
53,29
